Name of Company,Account no (obitrax generated),Phone number,Address,Company City,Company State,Primary contact first name,Primary contact last name,Primary contact phone number,Email address
MUMTAZ BAGS AND ACCESSORIES LTD                                                                                                                                                                         ,1200000066,08035908254         ,"Km5,AyetoroRoad,",ABUJA                                   ,ABUJA,HAUWA                         ,BELLO                         ,'08000000000,Hauwau200@yahoo.com                                                                                                                                                                                     
MAVIS COMPUTEL LIMITED                                                                                                                                                                                  ,1200000068,08036535050         ,No53IvRoadSectorF.LubgeF.C.T.Abuja,ABUJA                                   ,ABUJA,CHIZARAM                      ,UCHEAGA                       ,'08000000000,info@maviscomputel.com                                                                                                                                                                                  
STYLIX GLOBAL SYSTEM LTD                                                                                                                                                                                ,1200000069,08092498363         ,"SuiteCsf09K-CityPlaza,BathurstStreet,OffAminuKanoCrescent,Wuse2,Abuja",ABUJA                                   ,ABUJA,RAPHAEL OKWUDILI              ,AGHADINUNO                    ,09094386796         ,okwudili.aghadinuno@gmail.com                                                                                                                                                                           
BODY ORGANICS                                                                                                                                                                                           ,1200000078,08063996699         ,SuitC14AminuKanoCrescentNewBankWuseIiAbuja,ABUJA                                   ,ABUJA,VIOLA                         ,MARANZU-OGBUNUDE              ,'08000000000,ViolaOgbunude@yahoo.com                                                                                                                                                                                 
ZM COLLECTIONS - (ABDULMALIK ZULEIHAT)                                                                                                                                                                  ,1200000081,07035516788         ,"DioHalimaPlazaBehindSahadStoresOppLilyCourt,AreaIiAbuja",ABUJA                                   ,ABUJA,ABDULMALIK                    ,ZULEIHAT                      ,'08000000000,zulechat89@gmail.com                                                                                                                                                                                    
SUNSHINE FASHIONS - (MRS KALE UYI)                                                                                                                                                                      ,1200000095,09034721855         ,"8,AmoreStreet,Phase3Centre,Gwagwalada",ABUJA                                   ,ABUJA,KALE                          ,UYI                           ,'08000000000,sunshinefashions101@gmail.com                                                                                                                                                                           
LOLERAMS NATURAL - (LYDIA LERAMOH)                                                                                                                                                                      ,1200000096,08060341447         ,"Suite2001,AnbeezPlaza,WuseZone5,OffNdolaCrescent,",ABUJA                                   ,ABUJA,LYDIA                         ,LERAMOH                       ,'08000000000,loleramsnatural@gmail.com                                                                                                                                                                               
"PINKS ""N"" BLUES COLLECTION                                                                                                                                                                              ",1200000097,08091630336         ,"Block9,Flat4,51Crescent,AClose,Phase4,Kubwa",ABUJA                                   ,ABUJA,MARIAM                        ,SHORUNKE                      ,'08000000000,mariamshorunke@gmail.com                                                                                                                                                                                
CRAZY FASHION - (NWAHIRI MAXWELL U.)                                                                                                                                                                    ,1200000098,07063160406         ,"BlockB39,Shop10,WuseMarket,",ABUJA                                   ,ABUJA,NWAHIRI                       ,MAXWELL U.                    ,'08000000000,nwahirimax@gmail.com                                                                                                                                                                                    
CREATIVE IMAGE NIG. LTD - FRED CHIAZOR                                                                                                                                                                  ,1200000099,08136918464         ,"HouseNoD9,UnionHomes,Kuje",ABUJA                                   ,ABUJA,FRED                          ,CHIAZOR                       ,08121697444         ,imageclothes@gmail.com                                                                                                                                                                                  
FLASHNET ICT LIMITED                                                                                                                                                                                    ,1200000102,08065144790         ,"SuiteHf214,KauraMarket,Opp.PrinceAndPrincessEstate",ABUJA                                   ,ABUJA,FLASHNET ICT                  ,LIMITED                       ,'08000000000,info@flashnetict.net                                                                                                                                                                                    
MYAFRICA STORE - ASHBRIDGE HOUSE LTD (NUHU ABDULKADIR)                                                                                                                                                  ,1200000111,08067947110         ,"ShopO03OyiboOdinamaduBlock,NationalCentreForWomenDevelopment,CentralArea,",ABUJA                                   ,ABUJA,NUHU                          ,ABDULADIR                     ,0818933411          ,support@myafricastore.com                                                                                                                                                                               
ENROSE GLOBAL SERVICES LTD (ENE SEFIA)                                                                                                                                                                  ,1200000116,08092686161         ,"41Road22,Kado",ABUJA                                   ,ABUJA,ENE                           ,SOFIA                         ,'08000000000,enesefia@yahoo.com                                                                                                                                                                                      
AFFORDABLE SHOES AND FASHION                                                                                                                                                                            ,1200000117,07013228737         ,"P26B,EmirateLaneSunnyValeEstate,",ABUJA                                   ,ABUJA,BERTHA                        ,DOMINIC                       ,'08000000000,berthadominic@gmail.com                                                                                                                                                                                 
CETH VENTURES (CALEB MOMOH)                                                                                                                                                                             ,1200000118,08157468224         ,Fct,ABUJA                                   ,ABUJA,CALEB                         ,MOMOH                         ,08101357793         ,calebmomoh5@gmail.com                                                                                                                                                                                   
LE DOMAINE DE OHMART LTD (OH MART)                                                                                                                                                                      ,1200000119,07045500087         ,"34,GoldenPrimeStreet,Rafin-Seyin,Suleja",ABUJA                                   ,ABUJA,OLUYEMI                       ,AMALE                         ,'08000000000,info@ohmart.com.ng                                                                                                                                                                                      
LACOOL APPARELS (DACHUKS ENGINEERING COMPANY LTD)                                                                                                                                                       ,1200000123,07032073135         ,"78,IbbBoulevard,Maitama",ABUJA                                   ,ABUJA,DACHUKS ENGINEERING           ,COMPANY LTD                   ,'08000000000,dachukseng@ymail.com                                                                                                                                                                                    
PAM'S SIGNATURE (NNENNA PAMELLA CHIMEH)                                                                                                                                                                 ,1200000125,08033496310         ,"Suite23,ManealPlaza,GarkiIi,Fct",ABUJA                                   ,ABUJA,NNENA PAMELLA                 ,CHIMEH                        ,'08000000000,chimehn@gmail.com                                                                                                                                                                                       
SCHWAZZ MOXIE INVESTMENT LIMITED                                                                                                                                                                        ,1200000126,08033448752         ,"Plot479,1423Road,Off14Road,1StAvenue,Gwarimpa",ABUJA                                   ,ABUJA,VICTOR                        ,NWACHUKWU                     ,'08000000000,schwazzmoxie@gmail.com                                                                                                                                                                                  
KINGS STORE (ONUH KINGSLEY)                                                                                                                                                                             ,1200000128,08065943316         ,"OfficeB17B,PlatinumMegaMall,KatampeRoad,MabushiDistrict,",ABUJA                                   ,ABUJA,KINGSLEY                      ,ONUH                          ,'08000000000,onukingsleyonu@yahoo.com                                                                                                                                                                                
"VANDM BOUTIQUE

JAMILA VICTORIA KPAMBER                                                                                                                                                                 ",1200000134,07035681902         ,"73A,NouakhoutStreet,WuseZone1,",ABUJA                                   ,ABUJA,JAMILA VICTORIA               ,KPAMBER                       ,'08000000000,neelah84@yahoo.com                                                                                                                                                                                      
"MUSTAVE HOME ACCESSORIES & MORE

DAYO OKUSANYA                                                                                                                                                          ",1200000143,07065077374         ,"24,CotonouCrescent,WuseZone6",ABUJA                                   ,ABUJA,DAYO                          ,OKUSANYA                      ,'08000000000,odungbayo@yhaoo.com                                                                                                                                                                                     
"AMAKEENS 

EGBO STANLEY N.                                                                                                                                                                              ",1200000144,08036660245         ,"2,ThabahSeraStreet,WuseIi",ABUJA                                   ,ABUJA,STANLEY N.                    ,EGBO                          ,'08000000000,stanleyegbo@gmail.com                                                                                                                                                                                   
"GADGET REPUBLIC

UMANA EDIDIONG                                                                                                                                                                         ",1200000145,08068675082         ,"49B,KadoCadastralZoneB",ABUJA                                   ,ABUJA,UMANA                         ,EDIDIONG                      ,'08000000000,topnotehavily@gmail.com                                                                                                                                                                                 
"KIDDIESFASHION

OBI LILIAN                                                                                                                                                                              ",1200000146,08063587440         ,"43,AnambraStreet,Lugbe,",ABUJA                                   ,ABUJA,OBI                           ,LILIAN                        ,'08000000000,lilybabyng@yahoo.com                                                                                                                                                                                    
"LADYSOFT LIMITED

ADE OGUNDERO                                                                                                                                                                          ",1200000147,08022692244         ,"90,PesheClose,Karu",ABUJA                                   ,ABUJA,ADE                           ,OGUNDERO                      ,'08000000000,ladyandsoft@live.com                                                                                                                                                                                    
CARHEADSET - (JONATHAN MUGBEH)                                                                                                                                                                          ,1200000148,08035335178         ,"Plot395,OaklandCentre,3RdFl.AguiyiIronsi,Maitama",ABUJA                                   ,ABUJA,JONATHAN                      ,MUGBEH                        ,'08000000000,noemailaddress@thiscorporate.com
GOLDEN HEART GROUP                                                                                                                                                                                      ,1200000151,08189427427         ,"F.H.ALugbeAirportRoad,",ABUJA                                   ,ABUJA,MILLICENT                     ,IBEOGU                        ,'08000000000,ogeibeogu@yahoo.com                                                                                                                                                                                     
CLOTHIERS HUB                                                                                                                                                                                           ,1200000152,08147227811         ,"47A,SunnyvaleHomes,DakoaDistrict",ABUJA                                   ,ABUJA,EBUNOLUWA                     ,SOTUBO                        ,'08000000000,sotubo.ebun@gmail.com                                                                                                                                                                                   
JOBZ STORE - (OLUWATOBA HASSAN)                                                                                                                                                                         ,1200000158,08164074417         ,"2,BujumburaStreet,OffLibrevilleStreet,OffAminuKanoCresc.,WuseIi",ABUJA                                   ,ABUJA,OLUWATOBA AYOOLUWA            ,HASSAN                        ,'08000000000,sirjobzy@gmail.com                                                                                                                                                                                      
DIAMASK - (TOLA ALABI)                                                                                                                                                                                  ,1200000159,08082053399         ,"Plot773,Phase2,AmacHousingEstate",ABUJA                                   ,ABUJA,ALABI OLUTOLA                 ,OYINLOLA                      ,'08000000000,tolaoalabi@yahoo.com                                                                                                                                                                                    
HARUBOY - (HARUNA BELLO)                                                                                                                                                                                ,1200000160,08065329424         ,"186,DomaDSeries,Gwagwalada",ABUJA                                   ,ABUJA,HARUNA                        ,BELLO                         ,'08000000000,harunsahcol@yahoo.com                                                                                                                                                                                   
SHELVES - (DOYIN DUROJAIYE)                                                                                                                                                                             ,1200000161,08080216975         ,"ZamaniVillage,AirportRoad,",ABUJA                                   ,ABUJA,ADEDOYIN                      ,ADEGOKE                       ,'08000000000,doyinadegoke@gmail.com                                                                                                                                                                                  
BRAZEEDAH STORE - (MRS SADIAT M. ADEYANJU)                                                                                                                                                              ,1200000162,08110895022         ,"Plot1058,BabaitaStreet,NewsEngineering,AlongKubwaExpressway,",NASSARAWA                               ,ABUJA,SADIAT M.                     ,ADEYANJU                      ,08027339661         ,morolake@brazeedah.com                                                                                                                                                                                  
LEMNET - (LEMUEL UGIOMOH)                                                                                                                                                                               ,1200000163,08021263848         ,"Plot202,FalimaGoldEstate,Mararaba,NassarawaState",ABUJA                                   ,ABUJA,LEMUEL                        ,UGIOMOH                       ,'08000000000,kazeemolaiya@yahoo.com                                                                                                                                                                                  
BEST BUY 4 ALL                                                                                                                                                                                          ,1200000166,08036282533         ,"20,JonahJamiRoad,PeyiBwari",ABUJA                                   ,ABUJA,ELKANAH KINSMANN              ,UMUHOAKPOR                    ,'08000000000,lordkinsy@yahoo.com                                                                                                                                                                                     
KIDKULTURE KOUTURIER LTD - (TEMILADE ONAOLAPO)                                                                                                                                                          ,1200000167,08066031332         ,"StreetF,Block10,KujeFederalLowCostHousingKuje",ABUJA                                   ,ABUJA,TEMILADE                      ,ONAOLAPO                      ,'08000000000,noemailaddress@thiscorporate.com
RAINA INTERIOR LTD.                                                                                                                                                                                     ,1200000168,07037056917         ,"66,LomeCrescentWuseZone7",ABUJA                                   ,ABUJA,OJONOKA                       ,UJORHA                        ,'08000000000,rainainteriors@gmail.com                                                                                                                                                                                
GROSSEEZA - (AHONARUOGHO DORCAS)                                                                                                                                                                        ,1200000169,08053718194         ,"Suite2,KauraMordernMarket,AboveBankingHall,BtwPoliceStation&FireService,Opp.Prince&PrincessEstate,Gudu",ABUJA                                   ,ABUJA,AHONARUOGHO                   ,DORCAS                        ,'08000000000,dorcasahonaruogho@yahoo.com                                                                                                                                                                             
TOPDEAL STORE - (OMOLOLU TOPE)                                                                                                                                                                          ,1200000181,08039172012         ,"Block52,Fha-KaruPhaseIi,",ABUJA                                   ,ABUJA,OMOLOLU                       ,TOPE                          ,'08000000000,ATOMOLOLU@GMAIL.COM                                                                                                                                                                                     
MAWGLAM FASHION - (SARAH SAMSON)                                                                                                                                                                        ,1200000182,08034089966         ,"F/M/FQtrs,Wuye,GidadoIdrisStr",ABUJA                                   ,ABUJA,SARAH                         ,SAMSON                        ,'08000000000,SARAHSAMSON87@GMAIL.COM                                                                                                                                                                                 
SMART BEAUTY BAG - (AMOKWE IFEOMA)                                                                                                                                                                      ,1200000184,08137315309         ,"Plot556,MabushiByVio",ABUJA                                   ,ABUJA,AMOKWE                        ,IFEOMA                        ,'08000000000,IFEOMAAMOKWE@GMAIL.COM                                                                                                                                                                                  
NATURES EMPORIUM - INTERCEDD HEALTH PRODUCTS                                                                                                                                                            ,1200000189,08038020489         ,"1,AbeokutaStreet,Area8,",ABUJA                                   ,ABUJA,MILDRED                       ,UDEAGBELA                     ,'08000000000,SALES@INTERCEDD.COM.NG                                                                                                                                                                                  
LOLYSOFT LIMITED                                                                                                                                                                                        ,1200000219,08022692244         ,"1,JbLetonClose,Utako",ABUJA                                   ,ABUJA,OLOLADE                       ,OGUNDERO                      ,'08000000000,LOLYANDSOFT@LIVE.COM                                                                                                                                                                                    
ENGAGE STORE - (ENGAGE ENTERTAINMENT)                                                                                                                                                                   ,1200000229,08033369769         ,"3RdFloor,Plot395,OaklandCentre,AguiyiIronsi-Maitama",ABUJA                                   ,ABUJA,ENOBONG                       ,INYANG                        ,'08000000000,ENGAGEENTERTAINMENT@GMAIL.COM                                                                                                                                                                           
RICHNET SOLUTION MARKETING SERVICES                                                                                                                                                                     ,1200000230,08062174561         ,"Suite105A,NcwsSecretariat,KapitalStreet,GarkiAreaIi,",ABUJA                                   ,ABUJA,KUNLE                         ,AYORINDE                      ,'08000000000,AYORINDEKUNLE@GMAIL.COM                                                                                                                                                                                 
BELLZ GLAMOUR - (ODIA BELINDA)                                                                                                                                                                          ,1200000231,08075833550         ,"38,CotonouStreet,Wuse",ABUJA                                   ,ABUJA,BELINDA                       ,ODIA                          ,'08000000000,BELINDA.ODIA@YAHOO.COM                                                                                                                                                                                  
KAY'S PRIDE - (KEVIN NWOSU)                                                                                                                                                                             ,1200000233,08036683191         ,"CbnQuarters,FederalHousingAuthority,OffAirportRoad,Lugbe,",ABUJA                                   ,ABUJA,KEVIN                         ,NWOSU                         ,'08000000000,NWOSUKAY77@GMAIL.COM                                                                                                                                                                                    
OLLY - HEAD2TOE - (OLERE AZEBEOKHAI)                                                                                                                                                                    ,1200000257,08109215779         ,Sunnyvale,ABUJA                                   ,ABUJA,OLERE                         ,AZEBEOKHAI                    ,'08000000000,OLERE4U2001@YAHOO.COM                                                                                                                                                                                   
